code,field,missing_count,missing_pct
002747.SZ,trade_date,0,0.0
002979.SZ,trade_date,0,0.0
300607.SZ,trade_date,0,0.0
603416.SH,trade_date,0,0.0
603466.SH,trade_date,0,0.0
002747.SZ,open,0,0.0
002979.SZ,open,0,0.0
300607.SZ,open,0,0.0
603416.SH,open,0,0.0
603466.SH,open,0,0.0
002747.SZ,high,0,0.0
002979.SZ,high,0,0.0
300607.SZ,high,0,0.0
603416.SH,high,0,0.0
603466.SH,high,0,0.0
002747.SZ,low,0,0.0
002979.SZ,low,0,0.0
300607.SZ,low,0,0.0
603416.SH,low,0,0.0
603466.SH,low,0,0.0
002747.SZ,close,0,0.0
002979.SZ,close,0,0.0
300607.SZ,close,0,0.0
603416.SH,close,0,0.0
603466.SH,close,0,0.0
002747.SZ,pre_close,0,0.0
002979.SZ,pre_close,0,0.0
300607.SZ,pre_close,0,0.0
603416.SH,pre_close,0,0.0
603466.SH,pre_close,0,0.0
002747.SZ,volume,0,0.0
002979.SZ,volume,0,0.0
300607.SZ,volume,0,0.0
603416.SH,volume,0,0.0
603466.SH,volume,0,0.0
002747.SZ,amount,0,0.0
002979.SZ,amount,0,0.0
300607.SZ,amount,0,0.0
603416.SH,amount,0,0.0
603466.SH,amount,0,0.0
002747.SZ,adj_factor,0,0.0
002979.SZ,adj_factor,0,0.0
300607.SZ,adj_factor,0,0.0
603416.SH,adj_factor,0,0.0
603466.SH,adj_factor,0,0.0
002747.SZ,limit_up,362,1.0
002979.SZ,limit_up,362,1.0
300607.SZ,limit_up,362,1.0
603416.SH,limit_up,362,1.0
603466.SH,limit_up,362,1.0
002747.SZ,limit_down,362,1.0
002979.SZ,limit_down,362,1.0
300607.SZ,limit_down,362,1.0
603416.SH,limit_down,362,1.0
603466.SH,limit_down,362,1.0
002747.SZ,is_paused,0,0.0
002979.SZ,is_paused,0,0.0
300607.SZ,is_paused,0,0.0
603416.SH,is_paused,0,0.0
603466.SH,is_paused,0,0.0
002747.SZ,qfq_open,0,0.0
002979.SZ,qfq_open,0,0.0
300607.SZ,qfq_open,0,0.0
603416.SH,qfq_open,0,0.0
603466.SH,qfq_open,0,0.0
002747.SZ,qfq_high,0,0.0
002979.SZ,qfq_high,0,0.0
300607.SZ,qfq_high,0,0.0
603416.SH,qfq_high,0,0.0
603466.SH,qfq_high,0,0.0
002747.SZ,qfq_low,0,0.0
002979.SZ,qfq_low,0,0.0
300607.SZ,qfq_low,0,0.0
603416.SH,qfq_low,0,0.0
603466.SH,qfq_low,0,0.0
002747.SZ,qfq_close,0,0.0
002979.SZ,qfq_close,0,0.0
300607.SZ,qfq_close,0,0.0
603416.SH,qfq_close,0,0.0
603466.SH,qfq_close,0,0.0
002747.SZ,qfq_pre_close,0,0.0
002979.SZ,qfq_pre_close,0,0.0
300607.SZ,qfq_pre_close,0,0.0
603416.SH,qfq_pre_close,0,0.0
603466.SH,qfq_pre_close,0,0.0
